dataset_id,record_id,timestamp,country,sample_weight,trust_score,wellbeing_score,collaboration_score,information_access,data_source,collection_date,quality_flag,missing_data_pct
cooperative_learning_meta_2023,cooperative_learning_meta_2023_000000,2020-01-01,JPN,0.7936613768336496,0.7118116291252294,0.7655342697211328,0.5049710588806652,0.9184063098305056,cooperative_learning_meta_2023,2020-2022,high,0.035673180872101154
cooperative_learning_meta_2023,cooperative_learning_meta_2023_000001,2020-01-02,JPN,0.5305778488177797,0.574987170312478,0.6073133883331683,0.5266763343947055,0.7509002542264415,cooperative_learning_meta_2023,2020-2022,high,0.04476532076725363
cooperative_learning_meta_2023,cooperative_learning_meta_2023_000002,2020-01-03,USA,0.5228190343594379,0.9357527180356165,0.5687748909650892,0.6544148732601998,0.7251332736667052,cooperative_learning_meta_2023,2020-2022,high,0.049127585555169315
cooperative_learning_meta_2023,cooperative_learning_meta_2023_000003,2020-01-04,DEU,0.5628463259639284,0.6975227610086528,0.5365666987001604,0.2944496527261551,0.5200164479334375,cooperative_learning_meta_2023,2020-2022,high,0.03228574437029246
cooperative_learning_meta_2023,cooperative_learning_meta_2023_000004,2020-01-05,JPN,0.9497735228080711,0.8176217212749608,0.5605953179192774,0.7111805872171629,0.49558026908806885,cooperative_learning_meta_2023,2020-2022,high,0.01838920207683265
cooperative_learning_meta_2023,cooperative_learning_meta_2023_000005,2020-01-06,DEU,0.7364916941754489,0.7090059122830649,0.3119801706000478,0.3445850665950962,0.7954950323324247,cooperative_learning_meta_2023,2020-2022,medium,0.044788569684984056
cooperative_learning_meta_2023,cooperative_learning_meta_2023_000006,2020-01-07,GBR,0.9213287050589563,0.8119518820837714,0.8418522627087223,0.47643101289232104,0.9034140363977246,cooperative_learning_meta_2023,2020-2022,medium,0.010177297024500476
cooperative_learning_meta_2023,cooperative_learning_meta_2023_000007,2020-01-08,GBR,1.5057243623015772,0.7960668294876109,0.7862048364998723,0.3401555336078186,0.607853280493602,cooperative_learning_meta_2023,2020-2022,high,0.0072777058918500675
cooperative_learning_meta_2023,cooperative_learning_meta_2023_000008,2020-01-09,FRA,0.6904731028483204,0.8463644599396042,0.303044429107485,0.21392009717417976,0.7432349737432006,cooperative_learning_meta_2023,2020-2022,high,0.007668945418418527
cooperative_learning_meta_2023,cooperative_learning_meta_2023_000009,2020-01-10,JPN,1.809640182194548,0.502849033285763,0.3646374994462324,0.6077819412619163,0.7783423306919004,cooperative_learning_meta_2023,2020-2022,high,0.01577110362358748
cooperative_learning_meta_2023,cooperative_learning_meta_2023_000010,2020-01-11,DEU,1.2728432828644758,0.6161166265728695,0.7970382604448448,0.490758517774406,0.8243778020922174,cooperative_learning_meta_2023,2020-2022,high,0.03742856177993353
cooperative_learning_meta_2023,cooperative_learning_meta_2023_000011,2020-01-12,DEU,1.7878049775522724,0.5776489014155928,0.4073462061262986,0.6895523316848667,0.4555976312804651,cooperative_learning_meta_2023,2020-2022,high,0.0344619028219075
