seed,epoch,agent,CCI,Meaning,Coherence,Rc,epsilon,arch_truth,pca1,pca2,cluster
1,3,119,0.45914433571682856,0.43738864909857694,0.8891387236346416,0.5485553254693875,0.6012339189048863,2,2.6036501456316845,-0.8122857940830115,0
2,4,130,0.44456101485405414,0.5418459416035823,0.8591732553521484,0.6220936576855433,0.6649343318531257,2,2.853925371561527,-0.019765785182823525,0
0,2,146,1.1202820450429036,0.7748134387911019,0.6725293018925774,0.39566678852773246,0.39694908761038455,0,-1.0394542947457186,-0.1929387844519084,2
0,3,109,1.1148195307326243,0.7755317553926134,0.7409908745213828,0.34658377303549026,0.4502791537740365,0,-0.8378517184837839,-0.28376810733430263,1
1,0,100,1.1187836034034284,0.7296888064910166,0.7236160182127708,0.13627926361226236,0.28468108447280766,0,-2.1330215730234117,-1.062291441667976,1
0,2,177,0.324422996447571,0.4645213330821235,0.9350934495549437,0.56884071048702,0.643299355559666,2,3.143914029193966,-0.5045095650665025,1
1,2,125,0.7570780050060657,0.5423094657503262,0.4535277136821895,0.3215927633955613,0.45265830070669816,3,-0.559186012452345,-0.3477084913439749,3
2,4,83,1.0399933652760338,0.8802503767520686,0.613523163549679,0.2473461458164486,0.1345401450203302,0,-2.6821437329410833,-0.18156097986691447,2
1,4,174,0.4309824530899711,0.4992078681330633,0.8827248778473396,0.5381121415750897,0.7084493114552615,2,2.8778265108380623,-0.2722220984989026,1
2,3,211,0.7611917232799179,0.5151514138255208,0.6083757058928259,0.22274695011386897,0.45383923525133185,3,-0.46821050812272363,-0.931889121344834,3
1,1,125,0.8570362176119367,0.5488499595916597,0.45546713918573645,0.27696694517388204,0.4652840578527186,3,-0.8625632881965964,-0.4771697529855188,1
0,1,63,1.0549513264759058,0.8046021171142371,0.7444038690977302,0.1978451130581485,0.4088220310675594,0,-1.4356318021931815,-0.3494753558628081,2
1,3,180,1.0330469178043056,0.7248088500181011,0.7923288493226083,0.08181881615873936,0.2613079432616493,0,-2.0645435878114236,-1.2392670217374437,2
1,2,182,0.7453849861913864,0.5457502651198036,0.4668851503687049,0.2354658554927163,0.4393352689433525,3,-0.8574361015433947,-0.4803372137036002,3
2,3,161,0.27478487192297024,0.585866989278398,0.9649777990277458,0.4351502943538005,0.5721565145539632,2,2.3758768600244955,-0.24589005586166843,0
1,0,139,0.47873913895324505,0.4527043520469175,0.7956360399030382,0.6326520555630354,0.5668046423497014,2,2.4736853666439025,-0.5287496000645772,0
2,0,17,0.607380103379756,0.8717699509760706,0.5876500093594953,0.29397259393409947,0.5898615191337734,1,-0.1320092706010263,1.3415684948384081,0
1,0,170,0.701199344408338,0.919069211499237,0.5817395238376057,0.42415308569611004,0.471405098905099,1,-0.3769717041285032,1.3867548400103396,2
0,2,186,0.8355177522384752,0.6421500002570238,0.46049001087192515,0.3129113917459524,0.3570459502382215,3,-1.238078850312101,-0.1930322226987499,3
2,2,30,0.8024793380885786,0.4998665979907105,0.5842498843952428,0.24726683696506072,0.521561934027737,3,-0.25094073748857393,-0.838145599011745,0
0,0,192,0.9015726948873568,0.6116546132632869,0.5466074626780064,0.25953520098777433,0.2967820239364507,3,-1.4917409354858073,-0.7895140196850946,3
0,0,120,0.3114760958885292,0.5606719557524249,0.9037329146957902,0.5665602513682176,0.5391829907607173,2,2.53728598872799,-0.18024538926240638,2
2,1,186,0.3105401858706063,0.47775562181484743,0.9465447927867703,0.5955839408735109,0.6017886409486225,2,3.1196015780268174,-0.49839901430468847,1
1,1,149,1.1466917051623562,0.747519912868981,0.8107133633525956,0.175177408767955,0.37866466426771256,0,-1.5251337224216026,-0.9622128850659971,3
1,2,98,0.7938595409835638,0.6199167112479579,0.48324850194963787,0.2907034801776594,0.49404967014079504,3,-0.6500933027372324,-0.0485504247867698,3
2,4,40,0.8052993386819562,0.6497864212199272,0.528890619012796,0.2791687459331301,0.35713730083325534,3,-1.1400146858670652,-0.30709810210901084,1
2,4,54,0.5819376697277707,0.9793938995124943,0.5522504739465658,0.3227290744737368,0.4277255571314394,1,-0.8456380255281755,1.667356349465049,3
2,2,166,1.0138741020221018,0.8368744600369127,0.5735995726423744,0.25094213263756326,0.19036510249259236,0,-2.444503870596722,-0.15198514483306685,3
2,4,184,0.757422955949158,0.5816473220459405,0.5044774331457379,0.3054936609490162,0.3589473712376546,3,-0.8930090924237998,-0.47875945367216677,1
0,1,151,0.27384413248900163,0.45094416942020493,0.9771395979936094,0.5446590100756566,0.6485161970833937,2,3.302872812707501,-0.6144965060977916,1
2,1,230,0.3271511733208417,0.5440878276945452,0.9673917412427773,0.5472784572314164,0.6625829003471587,2,3.0728420794287428,-0.19136262168711665,1
2,4,70,0.6076946567168447,0.9034977897986965,0.47358748785461047,0.3280245675189771,0.4304993288162208,1,-0.9287444464097444,1.4579179224075567,3
1,0,236,0.5735082412440726,0.8891345238988777,0.5451835462741659,0.3538224442395088,0.4796082588584273,1,-0.3932323524684165,1.4113569698636204,2
1,0,182,0.8325941924069297,0.527058982363278,0.4352026772461717,0.28051434472540127,0.425721338740614,3,-0.9586804985359024,-0.5803382728599784,3
2,3,76,0.6482378714959519,0.8270237446941998,0.680631775891213,0.27247902411434577,0.5230862223509682,1,-0.20834179783866344,0.7222028237475356,2
2,4,218,0.9909012982157205,0.8245402666508123,0.6338398483431757,0.21269901821615286,0.10261484762480919,0,-2.675342454576531,-0.5324607320700506,2
2,4,29,0.5688972123957118,0.9101509778659134,0.4893743317914893,0.3536528425502332,0.39975902684596243,1,-0.8492586917895963,1.4751252189002078,3
0,4,203,0.6661319822630867,1.0239755734584441,0.6473328033562717,0.4513513828287813,0.6010074993992081,1,0.22629734031416635,2.076877017603577,0
0,2,157,1.1248082795315413,0.7462753585979871,0.8181429054830625,0.3538348519598456,0.42218454841197095,0,-0.6853887841272991,-0.6447199433461255,2
0,4,116,0.9052241490695525,0.7037952499738108,0.5092417881182889,0.30731842701237544,0.42301476260642096,3,-1.1379542479200986,0.030314287761814544,1
2,3,46,1.0241599454026127,0.7819120490764336,0.6971392823865217,0.22159314262132554,0.20536928673354982,0,-2.103051828993495,-0.6929030076052658,1
1,1,130,0.811640253879479,0.5653563885074467,0.5548894123269793,0.24051032114846307,0.4671160792587643,3,-0.6769612848659413,-0.5964739467610292,1
