rotation_angle_deg,phase_shift_rad,expected_shift_rad,deviation
0,1.7494547413051792e-06,0.0,1.7494547413051792e-06
15,-2.8607299681629416e-07,0.0,2.8607299681629416e-07
30,-4.845651322211442e-07,0.0,4.845651322211442e-07
45,-2.653318559261479e-06,0.0,2.653318559261479e-06
60,-8.28462937293585e-09,0.0,8.28462937293585e-09
75,-3.1963136376429856e-07,0.0,3.1963136376429856e-07
90,-5.3662936223473e-07,0.0,5.3662936223473e-07
105,3.154026684256969e-07,0.0,3.154026684256969e-07
120,4.2105071625547846e-07,0.0,4.2105071625547846e-07
135,-1.0656029804488335e-06,0.0,1.0656029804488335e-06
150,-8.86239669955473e-07,0.0,8.86239669955473e-07
165,-4.757334926833952e-07,0.0,4.757334926833952e-07
180,6.896823102014212e-07,0.0,6.896823102014212e-07
