run_id,wave_coherence,noise_level,emergence_factor,calibration_factor,cci_raw,cci_normalized,guardian_score,truthlens_score,meaningforge_score
0,0.7069191535386357,0.3840887811444442,0.759275855638144,0.8564791687934226,1.1968907791009133,0.11968907791009134,0.770990313105403,0.6567680580140157,0.6271892526238453
1,0.7472209389011237,0.22357902845762379,0.30147892872053167,0.976806436474421,0.9842001904523405,0.09842001904523405,0.6726530211773188,0.6710706363638189,0.6612526131817179
2,0.7358327460858858,0.3935280748044493,0.8070562932757865,0.8130150878114387,1.2268905564531265,0.12268905564531266,0.6846342166062575,0.6589622415088647,0.6606106243711477
3,0.5441910855654695,0.10015864335078282,0.8652997397132998,0.828300151545038,3.8941914938175404,0.38941914938175404,0.8732695874868662,0.7194720947694229,0.6987459570388087
4,0.8479140337588726,0.2285805437056859,0.7972508905936534,0.9435703676452077,2.790498983050974,0.2790498983050974,0.7957702845230055,0.7107206815275414,0.6922167941540386
5,0.5648049916010995,0.26439258762790196,0.6530914931054055,0.9547226338151469,1.331988564694659,0.1331988564694659,0.8033220673686484,0.7144899093569729,0.7253569890007058
6,0.5712989066280574,0.17217505936540395,0.6036327794213155,0.8793491397659658,1.7612755653350354,0.17612755653350354,0.7831480414827284,0.7056846513891311,0.6621815350819321
7,0.828280594065166,0.3483147778224943,0.43910000856123266,0.8158110972809861,0.8518411975569705,0.08518411975569705,0.772352480613991,0.7084854975115193,0.6260530525282726
8,0.5590012234823414,0.16937539159315826,0.8507674834223578,0.8258127055212342,2.3187551376781474,0.23187551376781473,0.7635077767330618,0.7299044051766005,0.7016419256085905
9,0.6020523278889344,0.2350765445034971,0.8835106682558962,0.8478741996323278,1.9185280790680765,0.19185280790680764,0.764132765705385,0.7299663207126879,0.6274455315446661
10,0.8380036778676287,0.23599485454504154,0.36082201652217705,0.9245695941105329,1.1846117249785821,0.11846117249785822,0.7707195332554959,0.6798633110252467,0.6221590312281283
11,0.5370904017866183,0.13801750288597212,0.620638368738585,0.9014608394150337,2.177201935139812,0.2177201935139812,0.8275465820662463,0.6872535192846264,0.6766112397880041
12,0.816516236422539,0.27881537623695984,0.754661623619502,0.8918728183776264,1.9710756738166915,0.19710756738166915,0.7676731555695013,0.6917968044973389,0.6636666649411082
13,0.5186519513446772,0.22562272000177397,0.8269595131255627,0.8866035386616997,1.6854151504759298,0.168541515047593,0.749694607539762,0.7315631598878504,0.7363131236324482
14,0.5960727606185648,0.18871204093174804,0.3030149542354443,0.8257787097153616,0.7903644687089764,0.07903644687089764,0.8312499313403964,0.688045865512878,0.6453088166877502
15,0.7422260779082528,0.3890634340187302,0.8057127306292458,0.9036628890116833,1.3890007059920073,0.13890007059920073,0.7007980548364715,0.6713600511228325,0.6562998118747857
16,0.8818217725397053,0.3685302864670157,0.6350083056384301,0.8564032764097655,1.301263831079764,0.1301263831079764,0.6847695759885417,0.7463417896342089,0.5922296943534354
17,0.6207252655661438,0.21938338968212417,0.8098707170513268,0.9677477406910482,2.217550622846298,0.22175506228462977,0.8483960797425122,0.6925449465293538,0.6271512234913819
18,0.6935567885313554,0.21534740659513912,0.49727240996408406,0.9058006363025386,1.4506724604047017,0.14506724604047017,0.7500909890654662,0.7445185420624214,0.5802009904102186
19,0.5740771669933357,0.3342558356406076,0.3931288478424247,0.9202237900647039,0.6213261694196042,0.062132616941960414,0.7469649813407411,0.6834003163022079,0.6864444970699767
