domain,agents,epsilon,shock,seed,CCI,survival_rate,hazard,collapse_risk,preregistered
bio,200,0.002,0.1,301,0.40793953781457604,0.7580321912227039,0.3223900565471204,0.463103715459258,True
bio,200,0.002,0.1,302,0.40976360653432303,0.7590256034321001,0.32079870182545844,0.44523374067563354,True
bio,200,0.002,0.1,303,0.4089140493677356,0.7584627263591354,0.3201380409838701,0.4360930814709731,True
bio,200,0.002,0.1,304,0.40953456326443277,0.7589721588387732,0.32074444627193915,0.43673377951589093,True
bio,200,0.002,0.1,305,0.40791544318256556,0.7579906948798006,0.32029244785550526,0.45942751153089595,True
bio,200,0.002,0.1,306,0.40848809480940124,0.7578973652547742,0.3218917442021744,0.4520882657752778,True
bio,200,0.002,0.1,307,0.40865178603692925,0.7582695388799003,0.321085334823831,0.4635620067358951,True
bio,200,0.002,0.1,308,0.4092191637677014,0.7580925270016223,0.3210614446395641,0.4461848937678462,True
bio,200,0.002,0.1,309,0.4094093906526512,0.7585544375264539,0.3189961977081732,0.4472365706366866,True
bio,200,0.002,0.1,310,0.4083135540634782,0.7585299256425345,0.3218780455138498,0.44909808754397,True
bio,200,0.002,0.2,301,0.399939537814576,0.7498321912227038,0.32649005654712043,0.4645803606901695,True
bio,200,0.002,0.2,302,0.4017636065343229,0.7508256034321001,0.3248987018254585,0.446767441054586,True
bio,200,0.002,0.2,303,0.4009140493677356,0.7502627263591355,0.3242380409838701,0.43764918275673315,True
bio,200,0.002,0.2,304,0.40153456326443276,0.7507721588387732,0.32484444627193915,0.4382857507072178,True
bio,200,0.002,0.2,305,0.3999154431825655,0.7497906948798007,0.32439244785550525,0.4609253308489516,True
bio,200,0.002,0.2,306,0.4004880948094013,0.7496973652547742,0.3259917442021744,0.45359966810594105,True
bio,200,0.002,0.2,307,0.40065178603692925,0.7500695388799004,0.325185334823831,0.4650431167415849,True
bio,200,0.002,0.2,308,0.4012191637677014,0.7498925270016223,0.32516144463956403,0.44771510734418135,True
bio,200,0.002,0.2,309,0.4014093906526512,0.7503544375264539,0.3230961977081732,0.4487740685472785,True
bio,200,0.002,0.2,310,0.4003135540634782,0.7503299256425345,0.3259780455138498,0.4506173176821384,True
bio,200,0.002,0.3,301,0.39193953781457597,0.7416321912227039,0.3305900565471205,0.4660338552365255,True
bio,200,0.002,0.3,302,0.3937636065343229,0.7426256034321002,0.3289987018254585,0.44827833738785894,True
bio,200,0.002,0.3,303,0.3929140493677356,0.7420627263591355,0.3283380409838701,0.4391828073203749,True
bio,200,0.002,0.3,304,0.3935345632644327,0.7425721588387733,0.32894444627193914,0.43981529721877305,True
bio,200,0.002,0.3,305,0.3919154431825655,0.7415906948798008,0.32849244785550524,0.4623997893182077,True
bio,200,0.002,0.3,306,0.3924880948094012,0.7414973652547742,0.3300917442021744,0.4550881609884371,True
bio,200,0.002,0.3,307,0.39265178603692924,0.7418695388799004,0.329285334823831,0.4665008796068213,True
bio,200,0.002,0.3,308,0.3932191637677014,0.7416925270016224,0.329261444639564,0.44922251491167864,True
bio,200,0.002,0.3,309,0.3934093906526512,0.7421544375264539,0.3271961977081732,0.45028842510597716,True
bio,200,0.002,0.3,310,0.39231355406347823,0.7421299256425344,0.3300780455138498,0.4521137432833584,True
bio,200,0.002,0.4,301,0.383939537814576,0.7334321912227039,0.3346900565471204,0.46746473929465665,True
bio,200,0.002,0.4,302,0.38576360653432296,0.7344256034321001,0.3330987018254585,0.449766934520146,True
bio,200,0.002,0.4,303,0.3849140493677356,0.7338627263591355,0.33243804098387003,0.4406944386592423,True
bio,200,0.002,0.4,304,0.38553456326443275,0.7343721588387733,0.3330444462719392,0.44132290159107707,True
bio,200,0.002,0.4,305,0.38391544318256554,0.7333906948798007,0.33259244785550524,0.46385142923348033,True
bio,200,0.002,0.4,306,0.3844880948094012,0.7332973652547742,0.3341917442021744,0.4565542613880454,True
bio,200,0.002,0.4,307,0.38465178603692923,0.7336695388799004,0.333385334823831,0.46793584305564434,True
bio,200,0.002,0.4,308,0.38521916376770143,0.7334925270016224,0.333361444639564,0.450707622543682,True
bio,200,0.002,0.4,309,0.3854093906526512,0.733954437526454,0.3312961977081732,0.45178015887164963,True
bio,200,0.002,0.4,310,0.3843135540634782,0.7339299256425346,0.33417804551384983,0.45358787398688416,True
bio,200,0.0024,0.1,301,0.4146062033701317,0.7606988574449263,0.3210567234360093,0.46261842458047997,True
bio,200,0.0024,0.1,302,0.4164302720898787,0.7616922696543225,0.31946536871434733,0.4447299761525332,True
bio,200,0.0024,0.1,303,0.4155807149232913,0.7611293925813577,0.3188047078727589,0.43558210634699007,True
bio,200,0.0024,0.1,304,0.4162012288199885,0.7616388250609957,0.31941111316082804,0.4362241588889417,True
bio,200,0.0024,0.1,305,0.4145821087381213,0.760657361102023,0.3189591147443941,0.4589352891379689,True
bio,200,0.0024,0.1,306,0.415154760364957,0.7605640314769964,0.3205584110910632,0.4515917278184532,True
bio,200,0.0024,0.1,307,0.415318451592485,0.7609362051021228,0.31975200171271984,0.46307522026166537,True
bio,200,0.0024,0.1,308,0.4158858293232572,0.7607591932238447,0.3197281115284529,0.4456822625256078,True
bio,200,0.0024,0.1,309,0.416076056208207,0.7612211037486762,0.31766286459706206,0.44673149608607143,True
bio,200,0.0024,0.1,310,0.414980219619034,0.7611965918647567,0.32054471240273863,0.4485990278418931,True
bio,200,0.0024,0.2,301,0.4066062033701317,0.7524988574449262,0.32515672343600927,0.46410271776719275,True
bio,200,0.0024,0.2,302,0.4084302720898787,0.7534922696543225,0.32356536871434727,0.44627120381225066,True
bio,200,0.0024,0.2,303,0.40758071492329134,0.7529293925813577,0.32290470787275893,0.4371456236884068,True
bio,200,0.0024,0.2,304,0.4082012288199884,0.7534388250609956,0.3235111131608281,0.43778352900153805,True
bio,200,0.0024,0.2,305,0.4065821087381213,0.752457361102023,0.3230591147443941,0.46044082520603025,True
bio,200,0.0024,0.2,306,0.40715476036495696,0.7523640314769964,0.32465841109106325,0.4531106944316098,True
bio,200,0.0024,0.2,307,0.407318451592485,0.7527362051021228,0.3238520017127199,0.46456404378957816,True
bio,200,0.0024,0.2,308,0.4078858293232571,0.7525591932238447,0.3238281115284529,0.4472200042982243,True
bio,200,0.0024,0.2,309,0.4080760562082069,0.7530211037486761,0.3217628645970621,0.448276634027527,True
bio,200,0.0024,0.2,310,0.4069802196190339,0.7529965918647568,0.3246447124027387,0.450125786502883,True
bio,200,0.0024,0.3,301,0.3986062033701317,0.7442988574449262,0.32925672343600926,0.46556368089135497,True
bio,200,0.0024,0.3,302,0.4004302720898787,0.7452922696543225,0.3276653687143473,0.44778945996841824,True
bio,200,0.0024,0.3,303,0.39958071492329134,0.7447293925813577,0.3270047078727589,0.4386865040217066,True
bio,200,0.0024,0.3,304,0.40020122881998843,0.7452388250609956,0.3276111131608281,0.4393203144645153,True
bio,200,0.0024,0.3,305,0.3985821087381213,0.744257361102023,0.3271591147443941,0.4619228203700488,True
bio,200,0.0024,0.3,306,0.39915476036495695,0.7441640314769965,0.32875841109106324,0.45460658005204313,True
bio,200,0.0024,0.3,307,0.39931845159248497,0.7445362051021227,0.3279520017127199,0.4660293382786227,True
bio,200,0.0024,0.3,308,0.39988582932325717,0.7443591932238446,0.32792811152845286,0.4487347721886987,True
bio,200,0.0024,0.3,309,0.4000760562082069,0.7448211037486763,0.3258628645970621,0.4497984585682098,True
bio,200,0.0024,0.3,310,0.39898021961903396,0.7447965918647568,0.32874471240273867,0.4516295715466201,True
bio,200,0.0024,0.4,301,0.39060620337013174,0.7360988574449262,0.33335672343600925,0.4670018597153537,True
bio,200,0.0024,0.4,302,0.3924302720898787,0.7370922696543224,0.33176536871434725,0.4492852543963474,True
bio,200,0.0024,0.4,303,0.3915807149232914,0.7365293925813577,0.3311047078727589,0.44020523543027057,True
bio,200,0.0024,0.4,304,0.3922012288199885,0.7370388250609956,0.331711113160828,0.4408350023969256,True
bio,200,0.0024,0.4,305,0.39058210873812127,0.736057361102023,0.33125911474439407,0.4633818224832326,True
bio,200,0.0024,0.4,306,0.391154760364957,0.7359640314769965,0.33285841109106323,0.4560799067931974,True
bio,200,0.0024,0.4,307,0.39131845159248496,0.7363362051021227,0.33205200171271987,0.4674716571275195,True
bio,200,0.0024,0.4,308,0.39188582932325716,0.7361591932238447,0.3320281115284529,0.4502270772247989,True
bio,200,0.0024,0.4,309,0.39207605620820685,0.7366211037486762,0.3299628645970621,0.45129749339439307,True
bio,200,0.0024,0.4,310,0.39098021961903395,0.7365965918647568,0.33284471240273866,0.4531108976377987,True
bio,200,0.0028,0.1,301,0.42127286892568744,0.7633655236671484,0.3197233903248981,0.46213060694904207,True
bio,200,0.0028,0.1,302,0.42309693764543443,0.7643589358765447,0.31813203560323616,0.4442237268003408,True
bio,200,0.0028,0.1,303,0.42224738047884713,0.76379605880358,0.3174713747616478,0.4350686841701421,True
bio,200,0.0028,0.1,304,0.4228678943755442,0.7643054912832179,0.31807778004971693,0.4357120968506935,True
bio,200,0.0028,0.1,305,0.42124877429367696,0.7633240273242453,0.3176257816332829,0.45844051747583997,True
bio,200,0.0028,0.1,306,0.42182142592051275,0.7632306976992188,0.31922507797995214,0.45109269208083735,True
bio,200,0.0028,0.1,307,0.4219851171480407,0.763602871324345,0.3184186686016087,0.4625858851503433,True
