rotation_angle_deg,phase_shift_rad,expected_shift_rad,deviation
0,6.669880563534683e-07,0.0,6.669880563534683e-07
15,2.581308106627382e-08,0.0,2.581308106627382e-08
30,-7.776194131918178e-07,0.0,7.776194131918178e-07
45,9.48633822494943e-07,0.0,9.48633822494943e-07
60,7.016717946475129e-07,0.0,7.016717946475129e-07
75,-1.0510815639071178e-06,0.0,1.0510815639071178e-06
90,-3.6754811611716607e-07,0.0,3.6754811611716607e-07
105,-1.1374596907250272e-06,0.0,1.1374596907250272e-06
120,-1.3221475225908593e-06,0.0,1.3221475225908593e-06
135,1.7722582783074304e-06,0.0,1.7722582783074304e-06
150,-3.474589910218634e-07,0.0,3.474589910218634e-07
165,6.701401628971516e-07,0.0,6.701401628971516e-07
180,3.222715203493051e-07,0.0,3.222715203493051e-07
