dataset_id,record_id,timestamp,country,sample_weight,trust_score,wellbeing_score,collaboration_score,information_access,data_source,collection_date,quality_flag,missing_data_pct
ess_wellbeing_trust_round10,ess_wellbeing_trust_round10_000000,2020-01-01,USA,0.7203989869013363,0.9501549803276754,0.1018398311758732,0.15407064704741213,0.8585679713117235,ess_wellbeing_trust_round10,2020-2022,high,0.0320042081575273
ess_wellbeing_trust_round10,ess_wellbeing_trust_round10_000001,2020-01-02,GBR,1.1531146115228172,0.7826475079851517,0.6432607915218213,0.749101670511934,0.8649699542795881,ess_wellbeing_trust_round10,2020-2022,high,0.03592778839450462
ess_wellbeing_trust_round10,ess_wellbeing_trust_round10_000002,2020-01-03,JPN,1.2352554962662645,0.4487311525599694,0.6996286357124909,0.39376928346051865,0.7814514394240691,ess_wellbeing_trust_round10,2020-2022,high,0.029552682153022994
ess_wellbeing_trust_round10,ess_wellbeing_trust_round10_000003,2020-01-04,JPN,0.9197845141267964,0.8100670038515507,0.0909848752713475,0.7559595444266674,0.7419431662062351,ess_wellbeing_trust_round10,2020-2022,high,0.03188513299062541
ess_wellbeing_trust_round10,ess_wellbeing_trust_round10_000004,2020-01-05,USA,1.3474495572771787,0.7610413371671426,0.7780046912346116,0.4037266069978042,0.6620291934329752,ess_wellbeing_trust_round10,2020-2022,high,0.040543828608098915
ess_wellbeing_trust_round10,ess_wellbeing_trust_round10_000005,2020-01-06,GBR,0.6663981593195378,0.5202821820624096,0.7035597257158932,0.8220883237269284,0.6015990939358147,ess_wellbeing_trust_round10,2020-2022,high,0.021838886743894028
ess_wellbeing_trust_round10,ess_wellbeing_trust_round10_000006,2020-01-07,JPN,1.8691289843925816,0.6722298738848723,0.694593714665756,0.31334227158137,0.8693073973225105,ess_wellbeing_trust_round10,2020-2022,high,0.024222091129751124
ess_wellbeing_trust_round10,ess_wellbeing_trust_round10_000007,2020-01-08,FRA,1.8423804575867802,0.8602823366879593,0.5743815537143743,0.413041230392611,0.867274493990644,ess_wellbeing_trust_round10,2020-2022,high,0.04049733150890413
ess_wellbeing_trust_round10,ess_wellbeing_trust_round10_000008,2020-01-09,FRA,1.9833506488094588,0.8675499093496223,0.44145820252007073,0.5100085962473317,0.7075114417308079,ess_wellbeing_trust_round10,2020-2022,high,0.0031013102020635897
ess_wellbeing_trust_round10,ess_wellbeing_trust_round10_000009,2020-01-10,JPN,0.7821773654729522,0.8911634811912136,0.7771134243416523,0.41823769821275536,0.7302337187133927,ess_wellbeing_trust_round10,2020-2022,high,0.029933189185528137
